userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
40_NY_0,40_NY_0!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,710.0,720.0,30,29,29,30,30,720.0,720.0,720.0,710.0,730.0,720.0,730.0,710.0,730.0,5
40_NY_1,40_NY_1!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,630.0,610.0,27,27,29,28,28,730.0,710.0,730.0,730.0,710.0,710.0,730.0,730.0,730.0,7
40_NY_2,40_NY_2!,NY,Commack High School,Commack,NY,4.0,2025,Physics,Philosophy,630.0,630.0,27,29,29,28,28,720.0,710.0,710.0,730.0,730.0,720.0,720.0,710.0,710.0,7
40_NY_3,40_NY_3!,NY,Commack High School,Commack,NY,3.8,2025,Physics,Philosophy,610.0,610.0,29,29,29,28,29,730.0,720.0,720.0,710.0,730.0,730.0,710.0,730.0,730.0,5
40_NY_4,40_NY_4!,NY,Commack High School,Commack,NY,4.0,2025,Physics,Psychology,610.0,610.0,29,29,27,29,28,730.0,720.0,720.0,710.0,720.0,710.0,730.0,730.0,710.0,5
40_NY_5,40_NY_5!,NY,Commack High School,Commack,NY,3.9,2024,Physics,Philosophy,610.0,630.0,27,27,29,27,28,710.0,730.0,710.0,720.0,710.0,720.0,730.0,710.0,730.0,7
40_NY_6,40_NY_6!,NY,Commack High School,Commack,NY,4.0,2025,Physics,English,630.0,620.0,28,28,29,29,28,710.0,710.0,720.0,730.0,720.0,730.0,720.0,710.0,720.0,6
40_NY_7,40_NY_7!,NY,Commack High School,Commack,NY,4.0,2024,Physics,English,610.0,630.0,28,29,29,29,29,720.0,720.0,710.0,710.0,710.0,710.0,730.0,710.0,710.0,7
40_NY_8,40_NY_8!,NY,Commack High School,Commack,NY,3.9,2025,Physics,Philosophy,630.0,610.0,27,27,29,28,28,720.0,710.0,720.0,720.0,710.0,730.0,730.0,720.0,720.0,6
40_NY_9,40_NY_9!,NY,Commack High School,Commack,NY,3.9,2024,Physics,Psychology,610.0,630.0,27,29,28,29,28,710.0,710.0,720.0,720.0,710.0,720.0,730.0,720.0,730.0,7
40_NY_10,40_NY_10!,NY,Commack High School,Commack,NY,3.8,2025,Physics,Psychology,610.0,610.0,29,27,28,29,28,730.0,730.0,710.0,730.0,710.0,710.0,720.0,720.0,730.0,7
40_NY_11,40_NY_11!,NY,Commack High School,Commack,NY,4.0,2024,Physics,Psychology,610.0,620.0,28,29,29,27,28,720.0,710.0,720.0,720.0,720.0,710.0,720.0,720.0,710.0,7
40_NY_12,40_NY_12!,NY,Commack High School,Commack,NY,3.9,2024,Physics,English,610.0,620.0,29,27,29,27,28,720.0,730.0,710.0,720.0,710.0,720.0,720.0,710.0,710.0,5
40_NY_13,40_NY_13!,NY,Commack High School,Commack,NY,4.0,2025,Physics,History,610.0,610.0,27,29,27,29,28,710.0,710.0,710.0,730.0,730.0,730.0,730.0,720.0,720.0,7
40_NY_14,40_NY_14!,NY,Commack High School,Commack,NY,3.9,2025,Physics,Philosophy,620.0,620.0,27,29,27,28,28,710.0,720.0,710.0,720.0,720.0,710.0,720.0,720.0,730.0,7
40_NY_15,40_NY_15!,NY,Commack High School,Commack,NY,3.8,2025,Physics,Psychology,630.0,630.0,27,28,28,27,28,710.0,710.0,710.0,720.0,710.0,710.0,710.0,730.0,710.0,7
40_NY_16,40_NY_16!,NY,Commack High School,Commack,NY,4.0,2025,Physics,Psychology,630.0,610.0,29,29,28,29,29,730.0,730.0,710.0,710.0,720.0,710.0,710.0,710.0,710.0,7
40_NY_17,40_NY_17!,NY,Commack High School,Commack,NY,4.0,2024,Physics,Psychology,610.0,620.0,27,29,28,28,28,710.0,730.0,710.0,710.0,710.0,720.0,720.0,720.0,710.0,5
40_NY_18,40_NY_18!,NY,Commack High School,Commack,NY,4.0,2025,Physics,History,630.0,630.0,28,28,27,27,28,710.0,730.0,720.0,710.0,720.0,730.0,720.0,730.0,720.0,7
40_NY_19,40_NY_19!,NY,Commack High School,Commack,NY,4.0,2024,Physics,Psychology,610.0,630.0,28,29,28,27,28,730.0,720.0,720.0,720.0,720.0,720.0,730.0,720.0,710.0,6
40_NY_20,40_NY_20!,NY,Commack High School,Commack,NY,3.9,2025,Physics,English,620.0,630.0,28,27,28,29,28,730.0,720.0,720.0,730.0,720.0,730.0,720.0,710.0,710.0,6
40_NY_21,40_NY_21!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,610.0,620.0,27,27,27,28,27,720.0,730.0,710.0,710.0,720.0,710.0,730.0,720.0,710.0,7
40_NY_22,40_NY_22!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,610.0,610.0,29,28,27,29,28,730.0,730.0,710.0,730.0,710.0,730.0,720.0,720.0,720.0,6
40_NY_23,40_NY_23!,NY,Commack High School,Commack,NY,4.0,2025,Physics,Psychology,620.0,610.0,28,27,28,28,28,720.0,730.0,730.0,710.0,710.0,710.0,730.0,720.0,720.0,7
40_NY_24,40_NY_24!,NY,Commack High School,Commack,NY,3.9,2025,Physics,Psychology,620.0,620.0,27,27,27,29,28,720.0,720.0,710.0,730.0,730.0,720.0,720.0,720.0,720.0,6
40_NY_25,40_NY_25!,NY,Commack High School,Commack,NY,3.8,2024,Physics,English,630.0,610.0,29,27,29,28,28,710.0,710.0,710.0,730.0,720.0,730.0,720.0,710.0,710.0,5
40_NY_26,40_NY_26!,NY,Commack High School,Commack,NY,4.0,2024,Physics,History,610.0,630.0,28,29,29,28,28,730.0,710.0,730.0,710.0,730.0,710.0,730.0,720.0,710.0,5
40_NY_27,40_NY_27!,NY,Commack High School,Commack,NY,4.0,2024,Physics,English,620.0,610.0,29,29,27,29,28,710.0,720.0,730.0,730.0,730.0,730.0,730.0,710.0,720.0,6
40_NY_28,40_NY_28!,NY,Commack High School,Commack,NY,4.0,2024,Physics,Psychology,610.0,610.0,29,27,29,29,28,730.0,730.0,720.0,710.0,730.0,730.0,710.0,720.0,710.0,7
40_NY_29,40_NY_29!,NY,Commack High School,Commack,NY,3.8,2024,Physics,Psychology,620.0,630.0,27,28,28,29,28,730.0,730.0,730.0,730.0,730.0,720.0,730.0,720.0,710.0,7
